Run ID	Architecture	Dataset Setup	Loss Function	Augmentation	Test Skin Acc	Test Skin F1	Test Lesion Acc	Test Lesion F1	Test BM Acc	Test BM F1	Notes
exp1_multi_8classes_focal_balanced_mixup	multi	exp1_8classes	focal	MixUp	0.98410	0.49599	0.52189	0.30303	0.78072	0.74723	Run ID: 7mdi1rgb
exp1_multi_8classes_lmf_balanced_mixup	multi	exp1_8classes	LMF	MixUp	0.98410	0.49599	0.54520	0.25418	0.77276	0.73954	Run ID: nyj17l0r
exp1_multi_8classes_weighted_ce_balanced_mixup	multi	exp1_8classes	weighted CE	MixUp	0.98410	0.49599	0.52865	0.30160	0.78090	0.74499	Run ID: pwhc150i
exp1_parallel_8classes_focal_balanced_mixup	parallel	exp1_8classes	focal	MixUp	0.98410	N/A	0.53381	N/A	0.68634	N/A	Run ID: 2tjkz9i6
exp1_parallel_8classes_lmf_balanced_mixup	parallel	exp1_8classes	LMF	MixUp	0.98410	N/A	0.50142	N/A	0.68634	N/A	Run ID: 9gsrl8vp
exp1_parallel_8classes_lmf_balanced_mixup_retry_balanced_mixup	parallel	exp1_8classes	LMF	MixUp	0.98410	N/A	0.51299	N/A	0.68634	N/A	Run ID: rr6evwb2
exp1_parallel_8classes_weighted_ce_balanced_mixup	parallel	exp1_8classes	weighted CE	MixUp	0.98410	N/A	0.51797	N/A	0.68634	N/A	Run ID: d9q61ubd
