Run ID	Architecture	Dataset Setup	Loss Function	Augmentation	Test Skin Acc	Test Skin F1	Test Lesion Acc	Test Lesion F1	Test BM Acc	Test BM F1	Notes
exp1_multi_8classes_focal	multi	exp1_8classes	focal	None	0.99712	0.95772	0.13096	0.15752	0.74981	0.73193	Run ID: gubewfcx
exp1_multi_8classes_lmf	multi	exp1_8classes	LMF	None	0.99990	0.99842	0.64395	0.23408	0.76480	0.74404	Run ID: di2zsozk
exp1_multi_8classes_weighted_ce	multi	exp1_8classes	weighted CE	None	0.99801	0.97008	0.51388	0.24424	0.74574	0.72602	Run ID: 91jnlz5e
exp1_parallel_8classes_focal	parallel	exp1_8classes	focal	None	0.99990	0.99990	0.01762	0.00203	0.79071	0.77900	Run ID: qu9znt7e
exp1_parallel_8classes_lmf	parallel	exp1_8classes	LMF	None	0.99911	0.99910	0.64537	0.59874	0.79478	0.78980	Run ID: 2vq7qxt7
exp1_parallel_8classes_weighted_ce	parallel	exp1_8classes	weighted CE	None	0.99861	0.99858	0.49502	0.54449	0.79478	0.78944	Run ID: rzw8l3o7
