Run,Architecture,MixUp,Epoch,Train_Loss,Train_Skin_Acc,Train_Lesion_Acc,Train_BM_Acc,Val_Loss,Val_Skin_Acc,Val_Lesion_Acc,Val_BM_Acc,Val_Skin_F1_Macro,Val_Lesion_F1_Macro,Val_BM_F1_Macro,Learning_Rate
exp6_parallel_weightedce_balanced_partial,Parallel,No,30,2.46093,1.00000,0.31637,0.53404,3.19717,0.88870,0.38164,0.68698,0.47053,0.33483,0.67759,0.000001
exp6_parallel_weightedce_balanced_partial,Parallel,No,31,2.45153,1.00000,0.32199,0.53764,3.19809,0.88870,0.38269,0.68660,0.47053,0.33661,0.67767,0.000001
exp6_parallel_weightedce_balanced_partial,Parallel,No,32,2.44339,1.00000,0.32310,0.53167,3.20002,0.88870,0.38164,0.68621,0.47053,0.33520,0.67773,0.000001
exp6_parallel_weightedce_balanced_partial,Parallel,No,33,2.44934,1.00000,0.31780,0.53757,3.20096,0.88870,0.38234,0.68660,0.47053,0.33627,0.67724,0.000001
exp6_parallel_weightedce_balanced_partial,Parallel,No,34,2.45661,1.00000,0.31833,0.53380,3.19991,0.88870,0.38199,0.68698,0.47053,0.33613,0.67759,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,35,2.45332,1.00000,0.32135,0.54201,3.20036,0.88870,0.38269,0.68698,0.47053,0.33675,0.67759,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,36,2.44795,1.00000,0.32326,0.54240,3.20198,0.88870,0.38269,0.68736,0.47053,0.33713,0.67828,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,37,2.45633,1.00000,0.31521,0.53914,3.20307,0.88870,0.37883,0.68621,0.47053,0.33192,0.67740,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,38,2.45348,1.00000,0.31982,0.53423,3.20316,0.88870,0.38164,0.68660,0.47053,0.33589,0.67758,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,39,2.44720,1.00000,0.32761,0.53240,3.20364,0.88870,0.38058,0.68698,0.47053,0.33424,0.67827,0.000000
exp6_parallel_weightedce_balanced_partial,Parallel,No,40,2.45027,1.00000,0.32162,0.53977,3.20347,0.88870,0.37988,0.68660,0.47053,0.33486,0.67784,0.000000
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,1,2.82048,0.99359,0.15758,0.50344,3.04760,0.88870,0.29511,0.56474,0.47053,0.11035,0.39498,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,2,2.64847,1.00000,0.21540,0.51586,3.02202,0.88870,0.30144,0.61348,0.47053,0.14798,0.42740,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,3,2.60821,1.00000,0.23475,0.50032,3.05412,0.88870,0.31622,0.64509,0.47053,0.18835,0.56267,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,4,2.56252,1.00000,0.25224,0.53116,3.06373,0.88870,0.33486,0.66108,0.47053,0.22409,0.65399,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,5,2.53404,1.00000,0.26697,0.51761,3.05034,0.88870,0.33732,0.65232,0.47053,0.21850,0.57619,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,6,2.51716,1.00000,0.27874,0.53689,3.06617,0.88870,0.33732,0.66870,0.47053,0.23050,0.66009,0.000100
exp6_parallel_weightedce_balanced_partial_mixup,Parallel,Yes,7,2.50955,1.00000,0.27784,0.52847,3.07758,0.88870,0.36898,0.66451,0.47053,0.27510,0.66142,0.000050
