run_id,name,state,created_at,test_skin_acc,test_skin_f1_macro,test_lesion_acc,test_lesion_f1_macro,test_bm_acc,test_bm_f1_macro
osgtmxbe,exp6_parallel_weightedce_balanced_mixup,finished,2025-09-03T13:52:08Z,0.9057659208261618,,0.33351063829787236,,0.5791653392800254,
u6x7jrmq,exp6_multi_weightedce_balanced_mixup,finished,2025-09-03T13:52:21Z,0.9057659208261618,0.47527658613682544,0.2268617021276596,0.12243796513684412,0.5275565466709143,0.5179998212872556
