Run ID	Architecture	Dataset Setup	Loss Function	Augmentation	Test Skin Acc	Test Skin F1	Test Lesion Acc	Test Lesion F1	Test BM Acc	Test BM F1	Notes
exp6_parallel_weightedce_balanced_mixup	parallel	exp6_balanced	focal (gamma=2.0)	Balanced MixUp (alpha=0.2)	0.90577	0.86098	0.33351	0.29366	0.57917	0.43051	
exp6_multi_weightedce_balanced_mixup	multi	exp6_balanced	focal (gamma=2.0)	Balanced MixUp (alpha=0.2)	0.90577	0.47528	0.22686	0.12244	0.52756	0.51800	
