gradients/trunk.3.bias,test_skin_acc,test_loss,test_bm_acc,gradients/head_skin.bias,parameters/trunk.0.weight,gradients/head_bm.bias,test_bm_f1,train_lesion_precision,val_lesion_precision,test_bm_recall,test_lesion_acc,val_lesion_f1,train_bm_recall,val_loss,parameters/trunk.3.bias,val_skin_recall,parameters/trunk.0.bias,test_lesion_recall,train_lesion_f1,parameters/head_lesion.bias,val_bm_f1,_step,test_bm_precision,parameters/head_bm.weight,parameters/head_lesion.weight,train_bm_f1,parameters/trunk.3.weight,gradients/head_bm.weight,epoch,gradients/head_lesion.weight,train_bm_precision,train_lesion_acc,gradients/head_skin.weight,train_skin_f1,test_skin_recall,train_loss,val_skin_acc,gradients/trunk.0.bias,train_skin_recall,train_skin_precision,val_bm_precision,train_bm_acc,val_bm_acc,train_lesion_recall,lr,val_lesion_acc,test_lesion_precision,parameters/head_skin.weight,val_skin_precision,parameters/head_bm.bias,gradients/trunk.3.weight,_runtime,val_skin_f1,val_lesion_recall,gradients/head_lesion.bias,gradients/trunk.0.weight,parameters/head_skin.bias,test_skin_f1,train_skin_acc,_timestamp,test_skin_precision,val_bm_recall,test_lesion_f1
"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1, 3, 6, 8, 4, 5, 4, 6, 4, 10, 8, 90, 15, 6, 13, 10, 6, 10, 10, 2, 3, 2, 5, 3, 2, 1, 2, 2, 0, 3, 2, 1, 0, 0, 2, 1, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'count': 64, 'min': -0.051788330078125, 'size': 0.0016231536865234375}}",,,,"{'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'size': 8.612871170043945e-05, 'count': 64, 'min': -0.0027561187744140625}, '_type': 'histogram'}","{'packedBins': {'min': -0.12910524010658264, 'size': 0.00407469691708684, 'count': 64}, '_type': 'histogram', 'values': [2, 2, 7, 12, 15, 16, 35, 44, 43, 86, 118, 143, 197, 405, 687, 1055, 2461, 3234, 3624, 3913, 4107, 4166, 4244, 4253, 4210, 4197, 4230, 4350, 4191, 4189, 4163, 4382, 4296, 4258, 4072, 4262, 4268, 4265, 4300, 4187, 4195, 4107, 3961, 4035, 3728, 3531, 3164, 1370, 987, 488, 248, 169, 116, 84, 62, 37, 34, 25, 11, 14, 8, 5, 2, 2]}","{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'count': 64, 'min': -0.1983642578125, 'size': 0.0062007904052734375}}",,0.1671893318507189,0.13619477566365956,,,0.1703999476004616,0.5998739038230069,2.9557740427553654,"{'_type': 'histogram', 'values': [1, 3, 1, 1, 2, 0, 5, 5, 10, 3, 3, 4, 4, 4, 3, 9, 5, 7, 3, 6, 5, 6, 2, 4, 7, 2, 3, 5, 3, 2, 3, 8, 4, 4, 6, 5, 8, 3, 5, 4, 4, 3, 2, 4, 5, 2, 5, 4, 3, 5, 4, 4, 4, 7, 5, 7, 3, 4, 4, 2, 2, 2, 2, 1], 'packedBins': {'min': -0.0464959442615509, 'size': 0.0015418759430758655, 'count': 64}}",0.8886965124907247,"{'_type': 'histogram', 'values': [11, 7, 4, 5, 10, 6, 12, 11, 9, 4, 9, 10, 5, 4, 12, 10, 5, 9, 8, 6, 14, 8, 6, 12, 10, 7, 4, 5, 9, 9, 6, 7, 8, 7, 6, 7, 11, 5, 5, 8, 4, 7, 11, 12, 7, 9, 12, 9, 6, 13, 11, 5, 8, 7, 10, 8, 9, 11, 7, 5, 15, 8, 2, 5], 'packedBins': {'min': -0.06246913969516754, 'size': 0.0020695904968306422, 'count': 64}}",,0.13524470124644725,"{'_type': 'histogram', 'values': [1, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1], 'packedBins': {'count': 64, 'min': -0.03329351544380188, 'size': 0.0012755676871165633}}",0.45018565489251305,0,,"{'_type': 'histogram', 'values': [5, 2, 4, 5, 7, 8, 12, 4, 7, 13, 4, 11, 7, 9, 11, 10, 8, 13, 4, 7, 7, 8, 5, 7, 8, 11, 10, 5, 7, 12, 6, 10, 12, 11, 11, 10, 6, 6, 9, 8, 11, 4, 4, 7, 11, 10, 4, 6, 12, 6, 11, 13, 16, 9, 8, 7, 8, 9, 9, 6, 3, 10, 5, 3], 'packedBins': {'count': 64, 'min': -0.06468414515256882, 'size': 0.0020225216867402196}}","{'values': [2, 3, 1, 2, 4, 10, 15, 23, 39, 41, 46, 49, 45, 35, 46, 42, 39, 32, 45, 44, 43, 42, 42, 43, 43, 38, 50, 48, 29, 49, 48, 45, 44, 42, 51, 49, 39, 33, 39, 49, 37, 39, 38, 36, 27, 47, 41, 34, 33, 37, 48, 43, 33, 46, 32, 17, 12, 5, 5, 4, 1, 1, 0, 3], 'packedBins': {'min': -0.08154843002557755, 'size': 0.002582896617241204, 'count': 64}, '_type': 'histogram'}",0.38619833568354134,"{'_type': 'histogram', 'values': [3, 3, 0, 4, 3, 2, 5, 10, 10, 14, 19, 29, 37, 60, 58, 79, 170, 672, 2646, 3533, 3821, 4067, 4372, 4517, 4456, 4497, 4547, 4675, 4523, 4469, 4575, 4445, 4514, 4449, 4652, 4444, 4543, 4563, 4508, 4395, 4493, 4605, 4499, 4466, 4574, 4331, 3671, 1438, 1046, 722, 386, 153, 72, 55, 40, 31, 29, 26, 12, 14, 7, 4, 7, 2], 'packedBins': {'min': -0.10033037513494492, 'size': 0.0030724089592695236, 'count': 64}}","{'values': [1, 0, 0, 0, 0, 0, 1, 1, 2, 4, 4, 1, 3, 3, 4, 6, 5, 5, 7, 6, 4, 9, 7, 6, 11, 9, 9, 5, 10, 11, 14, 27, 189, 14, 11, 10, 5, 9, 9, 11, 6, 7, 9, 4, 6, 7, 5, 5, 6, 4, 3, 3, 1, 4, 3, 3, 1, 1, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.29443359375, 'size': 0.0092010498046875, 'count': 64}, '_type': 'histogram'}",1.0,"{'packedBins': {'min': -0.1903076171875, 'size': 0.0049762725830078125, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 1, 0, 0, 0, 1, 1, 1, 1, 1, 3, 2, 0, 2, 2, 5, 4, 3, 5, 6, 11, 12, 8, 14, 16, 18, 15, 31, 24, 28, 31, 29, 33, 48, 66, 51, 86, 850, 102, 86, 71, 56, 49, 47, 38, 37, 26, 22, 22, 20, 13, 6, 11, 10, 5, 7, 6, 1, 1, 0, 1, 0, 1]}",0.5045562501671241,0.1601738485185774,"{'_type': 'histogram', 'values': [2, 1, 0, 2, 3, 1, 2, 2, 4, 4, 4, 7, 7, 5, 4, 5, 4, 12, 10, 5, 5, 10, 9, 6, 5, 9, 10, 9, 2, 6, 4, 17, 177, 4, 6, 2, 9, 10, 9, 5, 6, 9, 10, 5, 5, 10, 12, 4, 5, 4, 5, 7, 7, 4, 4, 4, 2, 2, 1, 3, 2, 0, 1, 2], 'packedBins': {'min': -0.0027446746826171875, 'size': 8.577108383178711e-05, 'count': 64}}",1.0,,2.7854471142009154,0.8886965124907247,"{'packedBins': {'size': 0.0007994174957275391, 'count': 64, 'min': -0.0146636962890625}, '_type': 'histogram', 'values': [1, 1, 1, 3, 5, 1, 3, 4, 3, 2, 9, 6, 11, 7, 12, 11, 13, 15, 235, 13, 17, 18, 15, 15, 14, 10, 10, 8, 12, 8, 8, 4, 5, 2, 2, 3, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1]}",1.0,1.0,0.3601828107117936,0.5998739038230069,0.6001523229246002,0.1601738485185774,0.0001,0.2926486106225818,,"{'values': [1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 1, 4, 9, 8, 6, 7, 10, 13, 21, 9, 13, 13, 10, 11, 14, 16, 10, 11, 18, 8, 25, 10, 13, 18, 21, 12, 9, 15, 11, 8, 15, 19, 5, 14, 27, 14, 8, 11, 11, 12, 2, 5, 5, 0, 2, 1, 1, 1, 0, 0, 0, 1], 'packedBins': {'size': 0.004006018512882292, 'count': 64, 'min': -0.13578133285045624}, '_type': 'histogram'}",0.7897814913131768,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.027730174362659454, 'size': 0.0004789008053194266, 'count': 64}}","{'packedBins': {'count': 64, 'min': -0.0276947021484375, 'size': 0.0009176731109619141}, '_type': 'histogram', 'values': [1, 1, 1, 1, 0, 0, 1, 10, 10, 3, 6, 19, 14, 21, 24, 32, 38, 36, 90, 97, 145, 214, 376, 533, 870, 1427, 2118, 2996, 4518, 6682, 89406, 6760, 4338, 2964, 2035, 1379, 978, 722, 580, 414, 317, 247, 176, 121, 83, 59, 58, 45, 36, 24, 12, 7, 5, 4, 4, 4, 5, 1, 1, 1, 0, 0, 1, 1]}",7.544604864,0.8363244026661011,0.2926486106225818,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.0980224609375, 'size': 0.0031595230102539062, 'count': 64}}","{'packedBins': {'size': 0.0007879734039306641, 'count': 64, 'min': -0.0209808349609375}, '_type': 'histogram', 'values': [1, 0, 0, 1, 0, 0, 2, 0, 1, 1, 0, 3, 1, 5, 5, 14, 9, 25, 30, 53, 93, 146, 253, 571, 1610, 6019, 108052, 10218, 2222, 802, 397, 174, 109, 77, 51, 41, 27, 14, 12, 6, 8, 2, 4, 2, 1, 1, 2, 0, 0, 1, 1, 0, 0, 1, 0, 1, 0, 0, 1, 1, 0, 0, 0, 1]}","{'packedBins': {'min': -0.05734880268573761, 'size': 0.001662526628933847, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1]}",,1.0,1756966617.027904,,0.6001523229246002,
"{'_type': 'histogram', 'values': [1, 1, 1, 0, 1, 0, 0, 1, 3, 1, 2, 3, 4, 1, 1, 4, 1, 2, 2, 3, 4, 5, 3, 7, 3, 10, 4, 7, 5, 7, 1, 7, 82, 7, 6, 5, 9, 3, 7, 1, 4, 3, 4, 4, 1, 4, 1, 2, 3, 0, 2, 2, 1, 2, 1, 4, 1, 0, 0, 0, 1, 0, 0, 1], 'packedBins': {'size': 0.0008568763732910156, 'count': 64, 'min': -0.02789306640625}}",,,,"{'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'count': 64, 'min': -0.0013856887817382812, 'size': 4.330277442932129e-05}, '_type': 'histogram'}","{'_type': 'histogram', 'values': [1, 3, 1, 6, 9, 22, 22, 30, 50, 54, 74, 86, 109, 162, 197, 307, 318, 522, 781, 1325, 3902, 4780, 5053, 5453, 5568, 5630, 5634, 5591, 5590, 5641, 5566, 5865, 5664, 5585, 5596, 5740, 5595, 5580, 5448, 5221, 5212, 4921, 3958, 1484, 873, 497, 346, 248, 183, 135, 103, 79, 69, 41, 37, 28, 19, 25, 16, 4, 5, 3, 2, 3], 'packedBins': {'min': -0.1736358255147934, 'size': 0.005509945331141353, 'count': 64}}","{'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'count': 64, 'min': -0.1837158203125, 'size': 0.005741119384765625}, '_type': 'histogram'}",,0.18840935568653117,0.18302212463430612,,,0.18087687980593753,0.5926392307252017,2.9651424307376146,"{'packedBins': {'min': -0.0464959442615509, 'size': 0.0015680104843340814, 'count': 64}, '_type': 'histogram', 'values': [1, 4, 0, 2, 1, 3, 3, 3, 3, 9, 9, 1, 2, 3, 6, 8, 9, 5, 2, 6, 4, 5, 2, 7, 4, 5, 5, 0, 5, 5, 5, 3, 6, 7, 3, 2, 7, 6, 3, 5, 4, 6, 1, 3, 5, 2, 6, 4, 5, 1, 5, 6, 4, 7, 5, 4, 5, 5, 3, 1, 3, 1, 0, 1]}",0.8886965124907247,"{'values': [11, 7, 4, 5, 10, 8, 11, 12, 5, 8, 9, 7, 7, 6, 12, 6, 8, 7, 11, 11, 6, 10, 6, 10, 11, 8, 3, 7, 5, 8, 13, 3, 7, 11, 3, 7, 9, 8, 5, 7, 6, 8, 9, 11, 8, 6, 15, 10, 8, 8, 9, 10, 7, 10, 11, 4, 9, 11, 7, 11, 12, 2, 4, 4], 'packedBins': {'size': 0.00205838808324188, 'count': 64, 'min': -0.06246913969516754}, '_type': 'histogram'}",,0.17092327813002642,"{'_type': 'histogram', 'values': [1, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1], 'packedBins': {'size': 0.00131763651734218, 'count': 64, 'min': -0.03370017930865288}}",0.45018565489251305,1,,"{'_type': 'histogram', 'values': [3, 6, 2, 5, 7, 7, 9, 6, 11, 11, 7, 9, 4, 15, 7, 8, 10, 10, 9, 5, 7, 7, 5, 7, 6, 13, 7, 5, 10, 9, 11, 11, 9, 11, 10, 12, 9, 2, 7, 9, 12, 5, 5, 8, 11, 6, 8, 6, 8, 11, 7, 13, 15, 8, 11, 9, 9, 7, 5, 5, 10, 5, 7, 3], 'packedBins': {'min': -0.06384354829788208, 'size': 0.001992999925278127, 'count': 64}}","{'values': [1, 0, 0, 0, 2, 2, 5, 4, 2, 4, 5, 18, 9, 15, 32, 46, 43, 59, 60, 41, 45, 40, 61, 44, 54, 44, 53, 54, 48, 59, 59, 55, 52, 69, 55, 54, 56, 44, 50, 44, 46, 47, 65, 47, 40, 45, 48, 52, 48, 43, 41, 48, 33, 18, 7, 7, 6, 4, 0, 4, 5, 1, 1, 4], 'packedBins': {'count': 64, 'min': -0.11111210286617279, 'size': 0.003273862646892667}, '_type': 'histogram'}",0.3853461580336887,"{'values': [3, 0, 2, 3, 3, 9, 7, 6, 13, 27, 30, 34, 55, 69, 77, 123, 161, 244, 702, 2740, 4235, 4714, 5070, 5444, 5362, 5518, 5534, 5553, 5466, 5502, 5494, 5427, 5593, 5506, 5545, 5422, 5502, 5457, 5555, 5357, 5394, 5252, 4208, 1635, 1129, 696, 380, 209, 141, 101, 84, 62, 46, 39, 28, 27, 21, 18, 11, 12, 4, 4, 4, 3], 'packedBins': {'min': -0.11753100156784058, 'size': 0.0037676707142964005, 'count': 64}, '_type': 'histogram'}","{'_type': 'histogram', 'values': [1, 1, 0, 1, 0, 4, 1, 1, 2, 1, 5, 4, 2, 4, 7, 7, 2, 7, 6, 5, 8, 6, 9, 11, 6, 11, 6, 18, 10, 8, 11, 13, 169, 11, 8, 10, 18, 6, 11, 6, 11, 9, 6, 8, 5, 6, 7, 2, 7, 7, 4, 2, 4, 5, 1, 2, 1, 1, 4, 0, 1, 0, 1, 1], 'packedBins': {'min': -0.2025146484375, 'size': 0.006328582763671875, 'count': 64}}",2.0,"{'packedBins': {'min': -0.1556396484375, 'size': 0.004036903381347656, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 0, 1, 2, 0, 0, 1, 2, 2, 2, 4, 1, 5, 0, 3, 0, 4, 7, 6, 7, 6, 8, 13, 16, 13, 14, 22, 19, 31, 36, 34, 34, 34, 39, 47, 66, 69, 774, 119, 100, 69, 69, 44, 53, 43, 37, 34, 37, 24, 17, 21, 15, 15, 8, 4, 9, 2, 1, 2, 0, 0, 1, 1]}",0.5219936029504122,0.20941326124980125,"{'_type': 'histogram', 'values': [4, 2, 0, 4, 4, 4, 3, 4, 5, 4, 4, 6, 8, 7, 7, 9, 8, 8, 8, 6, 3, 2, 7, 4, 2, 12, 12, 8, 5, 3, 3, 12, 168, 3, 3, 5, 8, 12, 12, 2, 4, 7, 2, 3, 6, 7, 9, 8, 9, 7, 7, 8, 6, 4, 4, 5, 4, 3, 4, 4, 4, 0, 2, 4], 'packedBins': {'min': -0.0010118484497070312, 'size': 3.1620264053344727e-05, 'count': 64}}",1.0,,2.622609653311261,0.8886965124907247,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 1, 0, 1, 4, 2, 4, 4, 4, 14, 10, 19, 10, 20, 33, 21, 13, 234, 15, 23, 14, 12, 8, 8, 4, 2, 1, 1, 4, 5, 2, 1, 1, 3, 1, 1, 0, 3, 2, 0, 0, 1, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'size': 0.0014600753784179688, 'count': 64, 'min': -0.040130615234375}}",1.0,1.0,0.3601828107117936,0.5926392307252017,0.6001523229246002,0.20941326124980125,0.0001,0.2961660218079494,,"{'values': [2, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 1, 2, 1, 1, 2, 5, 12, 15, 13, 7, 14, 15, 15, 16, 19, 15, 22, 11, 18, 15, 21, 19, 16, 14, 23, 18, 14, 17, 13, 21, 17, 21, 8, 13, 23, 6, 7, 4, 2, 1, 1, 0, 1, 3, 0, 1, 0, 0, 1, 1, 2], 'packedBins': {'min': -0.1968471258878708, 'size': 0.005734691163524985, 'count': 64}, '_type': 'histogram'}",0.7897814913131768,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.028351087123155594, 'size': 0.0004982817372365389, 'count': 64}}","{'packedBins': {'min': -0.0231475830078125, 'size': 0.0006351470947265625, 'count': 64}, '_type': 'histogram', 'values': [1, 0, 0, 1, 0, 0, 1, 1, 0, 0, 1, 0, 0, 1, 2, 5, 4, 9, 15, 16, 26, 50, 58, 94, 122, 210, 345, 481, 639, 982, 1301, 1843, 2489, 3655, 4992, 6746, 87891, 6251, 4164, 2699, 1829, 1305, 890, 629, 448, 313, 194, 127, 81, 61, 33, 25, 16, 9, 8, 0, 3, 2, 0, 2, 0, 1, 0, 1]}",14.493041277,0.8363244026661011,0.2961660218079494,"{'_type': 'histogram', 'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.115478515625, 'size': 0.0035238265991210938, 'count': 64}}","{'values': [1, 1, 0, 2, 0, 0, 0, 1, 2, 3, 3, 2, 4, 9, 12, 9, 18, 22, 29, 59, 62, 130, 199, 337, 785, 1736, 7580, 109935, 6834, 1765, 663, 320, 184, 116, 55, 50, 32, 24, 18, 16, 7, 7, 7, 5, 7, 4, 2, 5, 2, 1, 1, 1, 0, 1, 2, 0, 0, 0, 1, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.0323486328125, 'size': 0.0011768341064453125, 'count': 64}, '_type': 'histogram'}","{'values': [1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1], 'packedBins': {'min': -0.059067510068416595, 'size': 0.0017162371659651399, 'count': 64}, '_type': 'histogram'}",,1.0,1756966623.976405,,0.6001523229246002,
