Run ID	Architecture	Dataset Setup	Loss Function	Augmentation	Test Skin Acc	Test Skin F1	Test Lesion Acc	Test Lesion F1	Test BM Acc	Test BM F1	Notes
exp6_parallel_weightedce_balanced_partial_balanced_mixup	parallel	exp6_balanced_partial	weighted CE	Balanced MixUp (alpha=0.2)	0.88870	0.47053	0.40450	0.34227	0.60015	0.37506	
exp6_multi_weightedce_balanced_partial_balanced_mixup	multi	exp6_balanced_partial	weighted CE	Balanced MixUp (alpha=0.2)	0.88870	0.47053	0.34541	0.20457	0.53922	0.52218	
exp6_parallel_weightedce_balanced_partial_mixup_balanced_mixup	parallel	exp6_balanced_partial	weighted CE	Balanced MixUp (alpha=0.2)	0.88870	0.47053	0.40696	0.35990	0.60015	0.37506	
exp6_multi_weightedce_balanced_partial_mixup_balanced_mixup	multi	exp6_balanced_partial	weighted CE	Balanced MixUp (alpha=0.2)	0.88870	0.47053	0.30601	0.14675	0.61691	0.43999	
