Run ID,Architecture,Dataset Setup,Loss Function,Augmentation,Test Skin Acc,Test Skin F1,Test Lesion Acc,Test Lesion F1,Test BM Acc,Test BM F1
exp1_parallel_lmf_no_odin_msp,shared_trunk_multi_head,exp1,"LMF (alpha=0.5, beta=0.5, gamma=2.0)",None,0.21603453459902924,0.1801525129821124,0.6462633451957296,0.23706053412691253,0.7981125092524056,0.7522537470284283
exp1_parallel_lmf_with_odin_msp,shared_trunk_multi_head,exp1,"LMF (alpha=0.5, beta=0.5, gamma=2.0)",None,0.21603453459902924,0.18013710228677812,0.6453736654804271,0.23778641937027847,0.7977424130273871,0.7508216163124909
